ticker,nome_pregao,cod_cvm,segmento,cnpj,nome_cvm,setor,sit,nome,tipo
BMGB4,BANCO BMG,024600,Bancos,61.186.680/0001-74,BANCO BMG S/A,Bancos,ATIVO,BANCO BMG S/A,acao
BEES3,BANESTES,001155,Bancos,28.127.603/0001-78,BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,Bancos,ATIVO,BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,acao
BEES4,BANESTES,001155,Bancos,28.127.603/0001-78,BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,Bancos,ATIVO,BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO,acao
BDLL3,BARDELLA,001520,Máq. e Equip. Industriais,60.851.615/0001-53,BARDELLA S.A. INDUSTRIAS MECANICAS - EM RECUPERAÇÃO JUDICIAL,"Máquinas, Equipamentos, Veículos e Peças",ATIVO,BARDELLA S.A. INDUSTRIAS MECANICAS - EM RECUPERAÇÃO JUDICIAL,acao
BDLL4,BARDELLA,001520,Máq. e Equip. Industriais,60.851.615/0001-53,BARDELLA S.A. INDUSTRIAS MECANICAS - EM RECUPERAÇÃO JUDICIAL,"Máquinas, Equipamentos, Veículos e Peças",ATIVO,BARDELLA S.A. INDUSTRIAS MECANICAS - EM RECUPERAÇÃO JUDICIAL,acao
BALM3,BAUMER,001562,Equipamentos,61.374.161/0001-30,BAUMER SA,Metalurgia e Siderurgia,ATIVO,BAUMER SA,acao
BALM4,BAUMER,001562,Equipamentos,61.374.161/0001-30,BAUMER SA,Metalurgia e Siderurgia,ATIVO,BAUMER SA,acao
BBSE3,BBSEGURIDADE,023159,Seguradoras,17.344.597/0001-94,BB SEGURIDADE PARTICIPAÇÕES S.A.,Adm. Part. - Seguradoras e Corretoras,ATIVO,BB SEGURIDADE PARTICIPAÇÕES S.A.,acao
BBML3,BBMLOGISTICA,024660,Serviços Diversos,01.107.327/0001-20,BBM LOGÍSTICA S.A.,Serviços Transporte e Logística,ATIVO,BBM LOGÍSTICA S.A.,acao
ABCB4,ABC BRASIL,020958,Bancos,28.195.667/0001-06,BANCO ABC BRASIL S/A,Bancos,ATIVO,BANCO ABC BRASIL S/A,acao
BAZA3,AMAZONIA,000922,Bancos,04.902.979/0001-44,BANCO DA AMAZÔNIA S.A.,Bancos,ATIVO,BANCO DA AMAZÔNIA S.A.,acao
BBDC3,BRADESCO,000906,Bancos,60.746.948/0001-12,BANCO BRADESCO S.A.,Bancos,ATIVO,BANCO BRADESCO S.A.,acao
BBDC4,BRADESCO,000906,Bancos,60.746.948/0001-12,BANCO BRADESCO S.A.,Bancos,ATIVO,BANCO BRADESCO S.A.,acao
BBAS11,BRASIL,001023,Bancos,00.000.000/0001-91,BANCO DO BRASIL S.A.,Bancos,ATIVO,BANCO DO BRASIL S.A.,fii
BBAS12,BRASIL,001023,Bancos,00.000.000/0001-91,BANCO DO BRASIL S.A.,Bancos,ATIVO,BANCO DO BRASIL S.A.,acao
BBAS3,BRASIL,001023,Bancos,00.000.000/0001-91,BANCO DO BRASIL S.A.,Bancos,ATIVO,BANCO DO BRASIL S.A.,acao
BPAC3,BTGP BANCO,022616,Bancos,30.306.294/0001-45,BANCO BTG PACTUAL S/A,Bancos,ATIVO,BANCO BTG PACTUAL S/A,acao
BPAC5,BTGP BANCO,022616,Bancos,30.306.294/0001-45,BANCO BTG PACTUAL S/A,Bancos,ATIVO,BANCO BTG PACTUAL S/A,acao
BPAC11,BTGP BANCO,022616,Bancos,30.306.294/0001-45,BANCO BTG PACTUAL S/A,Bancos,ATIVO,BANCO BTG PACTUAL S/A,fii
BGIP3,BANESE,001120,Bancos,13.009.717/0001-46,BANCO DO ESTADO DE SERGIPE SA,Bancos,ATIVO,BANCO DO ESTADO DE SERGIPE SA,acao
BGIP4,BANESE,001120,Bancos,13.009.717/0001-46,BANCO DO ESTADO DE SERGIPE SA,Bancos,ATIVO,BANCO DO ESTADO DE SERGIPE SA,acao
BPAR3,BANPARA,001171,Bancos,04.913.711/0001-08,BANCO DO ESTADO DO PARÁ S/A.,Bancos,ATIVO,BANCO DO ESTADO DO PARÁ S/A.,acao
BRSR3,BANRISUL,001210,Bancos,92.702.067/0001-96,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,Bancos,ATIVO,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,acao
BRSR5,BANRISUL,001210,Bancos,92.702.067/0001-96,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,Bancos,ATIVO,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,acao
BRSR6,BANRISUL,001210,Bancos,92.702.067/0001-96,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,Bancos,ATIVO,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,acao
BMIN3,MERC INVEST,001309,Bancos,34.169.557/0001-72,BANCO MERCANTIL DE INVESTIMENTOS S.A.,Bancos,ATIVO,BANCO MERCANTIL DE INVESTIMENTOS S.A.,acao
BMIN4,MERC INVEST,001309,Bancos,34.169.557/0001-72,BANCO MERCANTIL DE INVESTIMENTOS S.A.,Bancos,ATIVO,BANCO MERCANTIL DE INVESTIMENTOS S.A.,acao
BMEB3,MERCANTIL,001325,Bancos,17.184.037/0001-10,BANCO MERCANTIL BRASIL SA,Bancos,ATIVO,BANCO MERCANTIL BRASIL SA,acao
BMEB4,MERCANTIL,001325,Bancos,17.184.037/0001-10,BANCO MERCANTIL BRASIL SA,Bancos,ATIVO,BANCO MERCANTIL BRASIL SA,acao
BNBR3,NORD BRASIL,001228,Bancos,07.237.373/0001-20,BANCO DO NORDESTE DO BRASIL SA,Bancos,ATIVO,BANCO DO NORDESTE DO BRASIL SA,acao
PINE3,PINE,020567,Bancos,62.144.175/0001-20,BANCO PINE S/A,Bancos,ATIVO,BANCO PINE S/A,acao
PINE4,PINE,020567,Bancos,62.144.175/0001-20,BANCO PINE S/A,Bancos,ATIVO,BANCO PINE S/A,acao
PINE13,PINE,020567,Bancos,62.144.175/0001-20,BANCO PINE S/A,Bancos,ATIVO,BANCO PINE S/A,acao
PINE14,PINE,020567,Bancos,62.144.175/0001-20,BANCO PINE S/A,Bancos,ATIVO,BANCO PINE S/A,acao
SANB3,SANTANDER BR,020532,Bancos,90.400.888/0001-42,BANCO SANTANDER (BRASIL) S.A.,Bancos,ATIVO,BANCO SANTANDER (BRASIL) S.A.,acao
SANB4,SANTANDER BR,020532,Bancos,90.400.888/0001-42,BANCO SANTANDER (BRASIL) S.A.,Bancos,ATIVO,BANCO SANTANDER (BRASIL) S.A.,acao
SANB11,SANTANDER BR,020532,Bancos,90.400.888/0001-42,BANCO SANTANDER (BRASIL) S.A.,Bancos,ATIVO,BANCO SANTANDER (BRASIL) S.A.,fii
CCTY3,RDVC CITY,027570,Incorporações,52.805.925/0001-03,BELORA RDVC CITY DESENVOLVIMENTO IMOBILIÁRIO S.A.,Constr. e Decoração,ATIVO,BELORA RDVC CITY DESENVOLVIMENTO IMOBILIÁRIO S.A.,acao
BMOB3,BEMOBI TECH,025500,Programas e Serviços,09.042.817/0001-05,BEMOBI MOBILE TECH S.A.,Comunicação e Informática,ATIVO,BEMOBI MOBILE TECH S.A.,acao
